Question,Answer
What is your company about?,"We are a technology company focused on building AI-powered products and services for businesses across Pakistan and the region."
Do you offer remote jobs?,"Hybrid work is available for selected positions. Fully remote roles are limited and mentioned in the specific job posting."
Where is your office?,"Our head office is located at DHA Phase 6, Lahore, Pakistan."
How many leaves do employees get?,"Employees receive 20 paid annual leaves per year, in addition to public holidays."
What are office timings?,"Our office hours are Monday to Friday, 9 AM to 6 PM."
What benefits do employees receive?,"We offer health insurance, provident fund, annual bonus, and learning & development budget for all confirmed employees."
Do you hire fresh graduates?,"Yes, we hire fresh graduates for internship and graduate trainee roles throughout the year."
What is the recruitment process?,"Our recruitment process includes an initial screening, a technical interview, an HR interview, and a final offer."
How long does the hiring process take?,"On average, our hiring process takes 2 to 3 weeks from application to offer, depending on the role."
Do you sponsor visas?,"Currently we do not sponsor work visas for international candidates. All roles require local eligibility to work in Pakistan."
What is the notice period?,"The standard notice period for confirmed employees is 30 days, unless otherwise agreed in the offer letter."
How can I contact HR?,"You can reach our HR team at hr@company.com or through this WhatsApp assistant during business hours."
